content,sentimen
"Wahhh bagus banget aplikasi nya sangat berguna bagi aku yang sedang mencari lowongan pekerjaan, tampilannya mudah di pahami, ukuran aplikasinya ringan, fiturnya melimpah bisa chat langsung hrd nya trus juga bisa bikin CV profesional di dalam aplikasinya dan masih banyak fitur lainnya yg menarik, referensi nya bisa yang tidak ada ijazah juga yang belum berpengalaman bisa diatur disini dan tentunya banyak lowongan yang tersedia. Mantap",1
"Aplikasinya bagus untuk pencari kerja karena banyak loker yang tersedia dan sangat membantu untuk yang sedang mencari kerja, untuk apply lowongan kerjanya juga mudah. Terimakasih glints!!!!",1
Aplikasi yang mantep banget buat anak muda baru lulus dan lagi nyari lowongan kerja. Banyak pilihan loker di dalamnya yang work it karena pasti terpercaya. Fiturnya juga lengkap dan mudah digunakan â¤ï¸,1
"Aplikasi nya ok, untuk mencari pekerjaan mudah, sebelum di perbarui masih aman dan masih bisa di buka.. setelah di perbarui email yg saya masukan tidak bisa/terjadi kesalahan..tolong aplikasi nya di benerin lagi",1
"Apknya sudah lumayan bagus. namun masih ada kekurangannya saat mencari lowongan kerja, data lowongan yang lama masih ada dan kita gatau apakah perusahaan tersebut masih membuka lowongannya atau tidak. sistem pencariannya cukup akurat, sudah bagus hanya perlu meningkatkan sedikit saja",1
"Sebenarnya, aplikasi ini bagus, ya, namun, hal-hal dari lowongan pekerjaan di aplikasi ini bisa dibilang kurang tepat, kurang akurat & kurang detail mengenai nama tempat, jalan, profil perusahaannya & tenggat waktu dari lowongan pekerjaan itu sendiri. Mohon ditingkatkan, ya, Para Pengembang.",1
"Aplikasi yang bagus memabantu para pencari kerja,,info lowongan kerjanya banyak dan mudah sekali digunakan,, sangat ringan,, recommend ya buat yg lagi nyari lowongan kerja.",1
Aplikasi ini sangat mudah banget untuk mencari lowongan pekerjaan sangat intutif dan membantu..fitur- fitur pencarian nya canggih dan antar muka pengguna yang bersih dan membuatnya lebih mudah untuk menemukan lowongan pekerjaan,1
"Aplikasi glints bagus sekali sangat membantu saya mencari lowongan pekerjaan tanpa harus turun langsung ke perusahaan perusahaan, disini banyak sekali lowongan pekerjaan sesuai bidang dan fitur fiturnya keren sangat membantu saya . Pokoknya aplikasi recommended sekali",1
"ini kenapa ya kok malah error aplikasi nya, ga bisa dibuka, akun malah keluar, mau login terjadi kesalahan, lewat website juga ga bisa, di update juga tetap ada kendala, ada apaaaa?? aku lagi nunggu acc agensi inii woyy,, Alhamdulillah sekarang sudah bisa setelah drama kepanikan, gatau tadinya kenapa, tapi saya ucapkan terima kasih kepada tim glints karena sekarang saya sudah bisa log in",1
"Jujur, aplikasi ini sangat membantu banget buat cari lowongan kerja, aksesnya mudah, dan cepet banget buat kalian yang pengen cari kerja, lowkernya pun banyak sesuai keahlian kalian, sangat rekomen banget",1
"Aplikasi bagus, tp setiap Notif masuk dibuka, selalu harus login ulang. Begitu terus tp ttep susah buat login. Perbaikilah demi kenyamanan",1
"Sebenarnya dari segi Aplikasinya sudah cukup bagus, cuma satu yang di sayangkan yaitu yang bagian penerima lamaran di aplikasi ini bukan dari Perusahaan/PT nya langsung melainkan Admin entah dari aplikasi glints atau lainnya, jadi cenderung para admin itu kurang begtu merespon dengan lamaran yang kita kirim lewat chat di aplikasi ini. Kalau bisa lamaran yg kita kirim itu langsung menuju bagian HRD Perusahaan.nya saja jangan lewat admin jadi lebih enak bisa langsung di respon lamarannya.",1
"Aplikasinya ok,, ada fitur pilihannya jadi memudahkan cari lowongan kerja sesuai keinginan... Banyak loker dari perusahaan ternama juga.",1
